Id,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
0,3,0,22.0,1,0,7.25,1,0
1,1,1,38.0,1,0,71.2833,0,1
2,3,1,26.0,0,0,7.925,1,1
3,1,1,35.0,1,0,53.1,1,1
4,3,0,35.0,0,0,8.05,1,0
5,3,0,20.0,0,0,8.4583,2,0
6,1,0,54.0,0,0,51.8625,1,0
7,3,0,2.0,3,1,21.075,1,0
8,3,1,27.0,0,2,11.1333,1,1
9,2,1,14.0,1,0,30.0708,0,1
10,3,1,4.0,1,1,16.7,1,1
11,1,1,58.0,0,0,26.55,1,1
12,3,0,20.0,0,0,8.05,1,0
13,3,0,39.0,1,5,31.275,1,0
14,3,1,14.0,0,0,7.8542,1,0
15,2,1,55.0,0,0,16.0,1,1
16,3,0,2.0,4,1,29.125,2,0
17,2,0,30.0,0,0,13.0,1,1
18,3,1,31.0,1,0,18.0,1,0
19,3,1,38.0,0,0,7.225,0,1
20,2,0,35.0,0,0,26.0,1,0
21,2,0,34.0,0,0,13.0,1,1
22,3,1,15.0,0,0,8.0292,2,1
23,1,0,28.0,0,0,35.5,1,1
24,3,1,8.0,3,1,21.075,1,0
25,3,1,38.0,1,5,31.3875,1,1
26,3,0,32.0,0,0,7.225,0,0
27,1,0,19.0,3,2,263.0,1,0
28,3,1,22.0,0,0,7.8792,2,1
29,3,0,34.0,0,0,7.8958,1,0
30,1,0,40.0,0,0,27.7208,0,0
31,1,1,39.0,1,0,146.5208,0,1
32,3,1,34.0,0,0,7.75,2,1
33,2,0,66.0,0,0,10.5,1,0
34,1,0,28.0,1,0,82.1708,0,0
35,1,0,42.0,1,0,52.0,1,0
36,3,0,23.0,0,0,7.2292,0,1
37,3,0,21.0,0,0,8.05,1,0
38,3,1,18.0,2,0,18.0,1,0
39,3,1,14.0,1,0,11.2417,0,1
40,3,1,40.0,1,0,9.475,1,0
41,2,1,27.0,1,0,21.0,1,0
42,3,0,27.0,0,0,7.8958,0,0
43,2,1,3.0,1,2,41.5792,0,1
44,3,1,19.0,0,0,7.8792,2,1
45,3,0,30.0,0,0,8.05,1,0
46,3,0,22.0,1,0,15.5,2,0
47,3,1,27.0,0,0,7.75,2,1
48,3,0,36.0,2,0,21.6792,0,0
49,3,1,18.0,1,0,17.8,1,0
50,3,0,7.0,4,1,39.6875,1,0
51,3,0,21.0,0,0,7.8,1,0
52,1,1,49.0,1,0,76.7292,0,1
53,2,1,29.0,1,0,26.0,1,1
54,1,0,65.0,0,1,61.9792,0,0
55,1,0,39.0,0,0,35.5,1,1
56,2,1,21.0,0,0,10.5,1,1
57,3,0,28.5,0,0,7.2292,0,0
58,2,1,5.0,1,2,27.75,1,1
59,3,0,11.0,5,2,46.9,1,0
60,3,0,22.0,0,0,7.2292,0,0
61,1,1,38.0,0,0,80.0,0,1
62,1,0,45.0,1,0,83.475,1,0
63,3,0,4.0,3,2,27.9,1,0
64,1,0,30.0,0,0,27.7208,0,0
65,3,0,30.0,1,1,15.2458,0,1
66,2,1,29.0,0,0,10.5,1,1
67,3,0,19.0,0,0,8.1583,1,0
68,3,1,17.0,4,2,7.925,1,1
69,3,0,26.0,2,0,8.6625,1,0
70,2,0,32.0,0,0,10.5,1,0
71,3,1,16.0,5,2,46.9,1,0
72,2,0,21.0,0,0,73.5,1,0
73,3,0,26.0,1,0,14.4542,0,0
74,3,0,32.0,0,0,56.4958,1,1
75,3,0,25.0,0,0,7.65,1,0
76,3,0,28.0,0,0,7.8958,1,0
77,3,0,20.0,0,0,8.05,1,0
78,2,0,0.83,0,2,29.0,1,1
79,3,1,30.0,0,0,12.475,1,1
80,3,0,22.0,0,0,9.0,1,0
81,3,0,29.0,0,0,9.5,1,1
82,3,1,34.0,0,0,7.7875,2,1
83,1,0,28.0,0,0,47.1,1,0
84,2,1,17.0,0,0,10.5,1,1
85,3,1,33.0,3,0,15.85,1,1
86,3,0,16.0,1,3,34.375,1,0
87,3,0,26.0,0,0,8.05,1,0
88,1,1,23.0,3,2,263.0,1,1
89,3,0,24.0,0,0,8.05,1,0
90,3,0,29.0,0,0,8.05,1,0
91,3,0,20.0,0,0,7.8542,1,0
92,1,0,46.0,1,0,61.175,1,0
93,3,0,26.0,1,2,20.575,1,0
94,3,0,59.0,0,0,7.25,1,0
95,3,0,30.0,0,0,8.05,1,0
96,1,0,71.0,0,0,34.6542,0,0
97,1,0,23.0,0,1,63.3583,0,1
98,2,1,34.0,0,1,23.0,1,1
99,2,0,34.0,1,0,26.0,1,0
100,3,1,28.0,0,0,7.8958,1,0
101,3,0,25.0,0,0,7.8958,1,0
102,1,0,21.0,0,1,77.2875,1,0
103,3,0,33.0,0,0,8.6542,1,0
104,3,0,37.0,2,0,7.925,1,0
105,3,0,28.0,0,0,7.8958,1,0
106,3,1,21.0,0,0,7.65,1,1
107,3,0,36.0,0,0,7.775,1,1
108,3,0,38.0,0,0,7.8958,1,0
109,3,1,38.0,1,0,24.15,2,1
110,1,0,47.0,0,0,52.0,1,0
111,3,1,14.5,1,0,14.4542,0,0
112,3,0,22.0,0,0,8.05,1,0
113,3,1,20.0,1,0,9.825,1,0
114,3,1,17.0,0,0,14.4583,0,0
115,3,0,21.0,0,0,7.925,1,0
116,3,0,70.5,0,0,7.75,2,0
117,2,0,29.0,1,0,21.0,1,0
118,1,0,24.0,0,1,247.5208,0,0
119,3,1,2.0,4,2,31.275,1,0
120,2,0,21.0,2,0,73.5,1,0
121,3,0,34.0,0,0,8.05,1,0
122,2,0,32.5,1,0,30.0708,0,0
123,2,1,32.5,0,0,13.0,1,1
124,1,0,54.0,0,1,77.2875,1,0
125,3,0,12.0,1,0,11.2417,0,1
126,3,0,32.0,0,0,7.75,2,0
127,3,0,24.0,0,0,7.1417,1,1
128,3,1,19.0,1,1,22.3583,0,1
129,3,0,45.0,0,0,6.975,1,0
130,3,0,33.0,0,0,7.8958,0,0
131,3,0,20.0,0,0,7.05,1,0
132,3,1,47.0,1,0,14.5,1,0
133,2,1,29.0,1,0,26.0,1,1
134,2,0,25.0,0,0,13.0,1,0
135,2,0,23.0,0,0,15.0458,0,0
136,1,1,19.0,0,2,26.2833,1,1
137,1,0,37.0,1,0,53.1,1,0
138,3,0,16.0,0,0,9.2167,1,0
139,1,0,24.0,0,0,79.2,0,0
140,3,1,32.0,0,2,15.2458,0,0
141,3,1,22.0,0,0,7.75,1,1
142,3,1,24.0,1,0,15.85,1,1
143,3,0,19.0,0,0,6.75,2,0
144,2,0,18.0,0,0,11.5,1,0
145,2,0,19.0,1,1,36.75,1,0
146,3,0,27.0,0,0,7.7958,1,1
147,3,1,9.0,2,2,34.375,1,0
148,2,0,36.5,0,2,26.0,1,0
149,2,0,42.0,0,0,13.0,1,0
150,2,0,51.0,0,0,12.525,1,0
151,1,1,22.0,1,0,66.6,1,1
152,3,0,55.5,0,0,8.05,1,0
153,3,0,40.5,0,2,14.5,1,0
154,3,0,27.0,0,0,7.3125,1,0
155,1,0,51.0,0,1,61.3792,0,0
156,3,1,16.0,0,0,7.7333,2,1
157,3,0,30.0,0,0,8.05,1,0
158,3,0,23.0,0,0,8.6625,1,0
159,3,0,33.0,8,2,69.55,1,0
160,3,0,44.0,0,1,16.1,1,0
161,2,1,40.0,0,0,15.75,1,1
162,3,0,26.0,0,0,7.775,1,0
163,3,0,17.0,0,0,8.6625,1,0
164,3,0,1.0,4,1,39.6875,1,0
165,3,0,9.0,0,2,20.525,1,1
166,1,1,35.0,0,1,55.0,1,1
167,3,1,45.0,1,4,27.9,1,0
168,1,0,37.0,0,0,25.925,1,0
169,3,0,28.0,0,0,56.4958,1,0
170,1,0,61.0,0,0,33.5,1,0
171,3,0,4.0,4,1,29.125,2,0
172,3,1,1.0,1,1,11.1333,1,1
173,3,0,21.0,0,0,7.925,1,0
174,1,0,56.0,0,0,30.6958,0,0
175,3,0,18.0,1,1,7.8542,1,0
176,3,0,28.0,3,1,25.4667,1,0
177,1,1,50.0,0,0,28.7125,0,0
178,2,0,30.0,0,0,13.0,1,0
179,3,0,36.0,0,0,0.0,1,0
180,3,1,31.0,8,2,69.55,1,0
181,2,0,35.0,0,0,15.05,0,0
182,3,0,9.0,4,2,31.3875,1,0
183,2,0,1.0,2,1,39.0,1,1
184,3,1,4.0,0,2,22.025,1,1
185,1,0,23.0,0,0,50.0,1,0
186,3,1,34.0,1,0,15.5,2,1
187,1,0,45.0,0,0,26.55,1,1
188,3,0,40.0,1,1,15.5,2,0
189,3,0,36.0,0,0,7.8958,1,0
190,2,1,32.0,0,0,13.0,1,1
191,2,0,19.0,0,0,13.0,1,0
192,3,1,19.0,1,0,7.8542,1,1
193,2,0,3.0,1,1,26.0,1,1
194,1,1,44.0,0,0,27.7208,0,1
195,1,1,58.0,0,0,146.5208,0,1
196,3,0,25.0,0,0,7.75,2,0
197,3,0,42.0,0,1,8.4042,1,0
198,3,1,38.0,0,0,7.75,2,1
199,2,1,24.0,0,0,13.0,1,0
200,3,0,28.0,0,0,9.5,1,0
201,3,0,35.0,8,2,69.55,1,0
202,3,0,34.0,0,0,6.4958,1,0
203,3,0,45.5,0,0,7.225,0,0
204,3,0,18.0,0,0,8.05,1,1
205,3,1,2.0,0,1,10.4625,1,0
206,3,0,32.0,1,0,15.85,1,0
207,3,0,26.0,0,0,18.7875,0,1
208,3,1,16.0,0,0,7.75,2,1
209,1,0,40.0,0,0,31.0,0,1
210,3,0,24.0,0,0,7.05,1,0
211,2,1,35.0,0,0,21.0,1,1
212,3,0,22.0,0,0,7.25,1,0
213,2,0,30.0,0,0,13.0,1,0
214,3,0,21.0,1,0,7.75,2,0
215,1,1,31.0,1,0,113.275,0,1
216,3,1,27.0,0,0,7.925,1,1
217,2,0,42.0,1,0,27.0,1,0
218,1,1,32.0,0,0,76.2917,0,1
219,2,0,30.0,0,0,10.5,1,0
220,3,0,16.0,0,0,8.05,1,1
221,2,0,27.0,0,0,13.0,1,0
222,3,0,51.0,0,0,8.05,1,0
223,3,0,37.0,0,0,7.8958,1,0
224,1,0,38.0,1,0,90.0,1,1
225,3,0,22.0,0,0,9.35,1,0
226,2,0,19.0,0,0,10.5,1,1
227,3,0,20.5,0,0,7.25,1,0
228,2,0,18.0,0,0,13.0,1,0
229,3,1,37.0,3,1,25.4667,1,0
230,1,1,35.0,1,0,83.475,1,1
231,3,0,29.0,0,0,7.775,1,0
232,2,0,59.0,0,0,13.5,1,0
233,3,1,5.0,4,2,31.3875,1,1
234,2,0,24.0,0,0,10.5,1,0
235,3,1,22.0,0,0,7.55,1,0
236,2,0,44.0,1,0,26.0,1,0
237,2,1,8.0,0,2,26.25,1,1
238,2,0,19.0,0,0,10.5,1,0
239,2,0,33.0,0,0,12.275,1,0
240,3,1,37.0,1,0,14.4542,0,0
241,3,1,39.0,1,0,15.5,2,1
242,2,0,29.0,0,0,10.5,1,0
243,3,0,22.0,0,0,7.125,1,0
244,3,0,30.0,0,0,7.225,0,0
245,1,0,44.0,2,0,90.0,2,0
246,3,1,25.0,0,0,7.775,1,0
247,2,1,24.0,0,2,14.5,1,1
248,1,0,37.0,1,1,52.5542,1,1
249,2,0,54.0,1,0,26.0,1,0
250,3,0,26.0,0,0,7.25,1,0
251,3,1,29.0,1,1,10.4625,1,0
252,1,0,62.0,0,0,26.55,1,0
253,3,0,30.0,1,0,16.1,1,0
254,3,1,41.0,0,2,20.2125,1,0
255,3,1,29.0,0,2,15.2458,0,1
256,1,1,34.0,0,0,79.2,0,1
257,1,1,30.0,0,0,86.5,1,1
258,1,1,35.0,0,0,512.3292,0,1
259,2,1,50.0,0,1,26.0,1,1
260,3,0,21.0,0,0,7.75,2,0
261,3,0,3.0,4,2,31.3875,1,1
262,1,0,52.0,1,1,79.65,1,0
263,1,0,40.0,0,0,0.0,1,0
264,3,1,25.0,0,0,7.75,2,0
265,2,0,36.0,0,0,10.5,1,0
266,3,0,16.0,4,1,39.6875,1,0
267,3,0,25.0,1,0,7.775,1,1
268,1,1,58.0,0,1,153.4625,1,1
269,1,1,35.0,0,0,135.6333,1,1
270,1,0,31.0,0,0,31.0,1,0
271,3,0,25.0,0,0,0.0,1,1
272,2,1,41.0,0,1,19.5,1,1
273,1,0,37.0,0,1,29.7,0,0
274,3,1,27.0,0,0,7.75,2,1
275,1,1,63.0,1,0,77.9583,1,1
276,3,1,45.0,0,0,7.75,1,0
277,2,0,25.0,0,0,0.0,1,0
278,3,0,7.0,4,1,29.125,2,0
279,3,1,35.0,1,1,20.25,1,1
280,3,0,65.0,0,0,7.75,2,0
281,3,0,28.0,0,0,7.8542,1,0
282,3,0,16.0,0,0,9.5,1,0
283,3,0,19.0,0,0,8.05,1,1
284,1,0,31.0,0,0,26.0,1,0
285,3,0,33.0,0,0,8.6625,0,0
286,3,0,30.0,0,0,9.5,1,1
287,3,0,22.0,0,0,7.8958,1,0
288,2,0,42.0,0,0,13.0,1,1
289,3,1,22.0,0,0,7.75,2,1
290,1,1,26.0,0,0,78.85,1,1
291,1,1,19.0,1,0,91.0792,0,1
292,2,0,36.0,0,0,12.875,0,0
293,3,1,24.0,0,0,8.85,1,0
294,3,0,24.0,0,0,7.8958,1,0
295,1,0,25.0,0,0,27.7208,0,0
296,3,0,23.5,0,0,7.2292,0,0
297,1,1,2.0,1,2,151.55,1,0
298,1,0,26.0,0,0,30.5,1,1
299,1,1,50.0,0,1,247.5208,0,1
300,3,1,20.0,0,0,7.75,2,1
301,3,0,36.0,2,0,23.25,2,1
302,3,0,19.0,0,0,0.0,1,0
303,2,1,31.0,0,0,12.35,2,1
304,3,0,28.0,0,0,8.05,1,0
305,1,0,0.92,1,2,151.55,1,1
306,1,1,23.0,0,0,110.8833,0,1
307,1,1,17.0,1,0,108.9,0,1
308,2,0,30.0,1,0,24.0,0,0
309,1,1,30.0,0,0,56.9292,0,1
310,1,1,24.0,0,0,83.1583,0,1
311,1,1,18.0,2,2,262.375,0,1
312,2,1,26.0,1,1,26.0,1,0
313,3,0,28.0,0,0,7.8958,1,0
314,2,0,43.0,1,1,26.25,1,0
315,3,1,26.0,0,0,7.8542,1,1
316,2,1,24.0,1,0,26.0,1,1
317,2,0,54.0,0,0,14.0,1,0
318,1,1,31.0,0,2,164.8667,1,1
319,1,1,40.0,1,1,134.5,0,1
320,3,0,22.0,0,0,7.25,1,0
321,3,0,27.0,0,0,7.8958,1,0
322,2,1,30.0,0,0,12.35,2,1
323,2,1,22.0,1,1,29.0,1,1
324,3,0,19.0,8,2,69.55,1,0
325,1,1,36.0,0,0,135.6333,0,1
326,3,0,61.0,0,0,6.2375,1,0
327,2,1,36.0,0,0,13.0,1,1
328,3,1,31.0,1,1,20.525,1,1
329,1,1,16.0,0,1,57.9792,0,1
330,3,1,25.0,2,0,23.25,2,1
331,1,0,45.5,0,0,28.5,1,0
332,1,0,38.0,0,1,153.4625,1,0
333,3,0,16.0,2,0,18.0,1,0
334,1,1,22.0,1,0,133.65,1,1
335,3,0,25.0,0,0,7.8958,1,0
336,1,0,29.0,1,0,66.6,1,0
337,1,1,41.0,0,0,134.5,0,1
338,3,0,45.0,0,0,8.05,1,1
339,1,0,45.0,0,0,35.5,1,0
340,2,0,2.0,1,1,26.0,1,1
341,1,1,24.0,3,2,263.0,1,1
342,2,0,28.0,0,0,13.0,1,0
343,2,0,25.0,0,0,13.0,1,0
344,2,0,36.0,0,0,13.0,1,0
345,2,1,24.0,0,0,13.0,1,1
346,2,1,40.0,0,0,13.0,1,1
347,3,1,18.0,1,0,16.1,1,1
348,3,0,3.0,1,1,15.9,1,1
349,3,0,42.0,0,0,8.6625,1,0
350,3,0,23.0,0,0,9.225,1,0
351,1,0,35.0,0,0,35.0,1,0
352,3,0,15.0,1,1,7.2292,0,0
353,3,0,25.0,1,0,17.8,1,0
354,3,0,35.0,0,0,7.225,0,0
355,3,0,28.0,0,0,9.5,1,0
356,1,1,22.0,0,1,55.0,1,1
357,2,1,38.0,0,0,13.0,1,0
358,3,1,38.0,0,0,7.8792,2,1
359,3,1,37.0,0,0,7.8792,2,1
360,3,0,40.0,1,4,27.9,1,0
361,2,0,29.0,1,0,27.7208,0,0
362,3,1,45.0,0,1,14.4542,0,0
363,3,0,35.0,0,0,7.05,1,0
364,3,0,33.0,1,0,15.5,2,0
365,3,0,30.0,0,0,7.25,1,0
366,1,1,60.0,1,0,75.25,0,1
367,3,1,31.0,0,0,7.2292,0,1
368,3,1,27.0,0,0,7.75,2,1
369,1,1,24.0,0,0,69.3,0,1
370,1,0,25.0,1,0,55.4417,0,1
371,3,0,18.0,1,0,6.4958,1,0
372,3,0,19.0,0,0,8.05,1,0
373,1,0,22.0,0,0,135.6333,0,0
374,3,1,3.0,3,1,21.075,1,0
375,1,1,25.0,1,0,82.1708,0,1
376,3,1,22.0,0,0,7.25,1,1
377,1,0,27.0,0,2,211.5,0,0
378,3,0,20.0,0,0,4.0125,0,0
379,3,0,19.0,0,0,7.775,1,0
380,1,1,42.0,0,0,227.525,0,1
381,3,1,1.0,0,2,15.7417,0,1
382,3,0,32.0,0,0,7.925,1,0
383,1,1,35.0,1,0,52.0,1,1
384,3,0,23.0,0,0,7.8958,1,0
385,2,0,18.0,0,0,73.5,1,0
386,3,0,1.0,5,2,46.9,1,0
387,2,1,36.0,0,0,13.0,1,1
388,3,0,23.0,0,0,7.7292,2,0
389,2,1,17.0,0,0,12.0,0,1
390,1,0,36.0,1,2,120.0,1,1
391,3,0,21.0,0,0,7.7958,1,1
392,3,0,28.0,2,0,7.925,1,0
393,1,1,23.0,1,0,113.275,0,1
394,3,1,24.0,0,2,16.7,1,1
395,3,0,22.0,0,0,7.7958,1,0
396,3,1,31.0,0,0,7.8542,1,0
397,2,0,46.0,0,0,26.0,1,0
398,2,0,23.0,0,0,10.5,1,0
399,2,1,28.0,0,0,12.65,1,1
400,3,0,39.0,0,0,7.925,1,1
401,3,0,26.0,0,0,8.05,1,0
402,3,1,21.0,1,0,9.825,1,0
403,3,0,28.0,1,0,15.85,1,0
404,3,1,20.0,0,0,8.6625,1,0
405,2,0,34.0,1,0,21.0,1,0
406,3,0,51.0,0,0,7.75,1,0
407,2,0,3.0,1,1,18.75,1,1
408,3,0,21.0,0,0,7.775,1,0
409,3,1,28.0,3,1,25.4667,1,0
410,3,0,25.0,0,0,7.8958,1,0
411,3,0,31.0,0,0,6.8583,2,0
412,1,1,33.0,1,0,90.0,2,1
413,2,0,22.0,0,0,0.0,1,0
414,3,0,44.0,0,0,7.925,1,1
415,3,1,26.0,0,0,8.05,1,0
416,2,1,34.0,1,1,32.5,1,1
417,2,1,18.0,0,2,13.0,1,1
418,2,0,30.0,0,0,13.0,1,0
419,3,1,10.0,0,2,24.15,1,0
420,3,0,22.0,0,0,7.8958,0,0
421,3,0,21.0,0,0,7.7333,2,0
422,3,0,29.0,0,0,7.875,1,0
423,3,1,28.0,1,1,14.4,1,0
424,3,0,18.0,1,1,20.2125,1,0
425,3,0,24.0,0,0,7.25,1,0
426,2,1,28.0,1,0,26.0,1,1
427,2,1,19.0,0,0,26.0,1,1
428,3,0,25.0,0,0,7.75,2,0
429,3,0,32.0,0,0,8.05,1,1
430,1,0,28.0,0,0,26.55,1,1
431,3,1,20.0,1,0,16.1,1,1
432,2,1,42.0,1,0,26.0,1,1
